id,댓글,공감수
1,"  29000원은 출고가격으로, 큐텐 등에서 3만원대 혹은 4만원대로 구입할 수 있습니다! 이가격으로 사도 가성비 좋습니다. + '임영훈'님 더 자세한 정보 감사합니다. 방수등급 5 ATM은 5기압정도의 물을 버틸수있는 능력이지 수심 50M까지의 방수능력이 아닙니다!! ",3
1,  인트로 미쳤낰ㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋㄱㅋㄱㅋ ,3
1,  애플워치를 차고 미밴드를 소개하다... ,3
1,  4:00 허언 5:55 팩트 ,3
1,  형 카메라 녹화 버튼 안 누르고 박스 던지고 혼자 말하는 느낌은 어때..? ,3
1,  시리야.... 인트로에 반응하지마.... ,3
1,  그렇다. 10개월전 잇섭은 관짝밈을 예상하고있었던것이다 ,3
1,  1:23 ㅗㅜㅑ 내 아래도 공략해줘 ,3
1,  4:43 페이스북  맛집ㅋㅋㅋㅋㅋ ,3
1,  아오앀ㅋㅋㅋㅋㅋㅋ 인트로 개빵터지게 만들면 뭐 보러왔는지 까먹는다니까요?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 완전 방심했다가 개뿜ㅋㅋㅋㅋㅋㅋㅋ ,3
1,  진짜 ㅋㅋㅋ 인트로가 가면 갈수록 너무 좋아 ㅋㅋ  아니 맛을 왜 보는건뎈ㅋㅋㅋㅋ ,3
1,  1:23 역시 형 나랑 같네 (므흣 ) ,3
1,  4:00 숙련된 그의 ㄸ근 ,3
1,  참고로 미밴드4 국내 정발은 9월입니다 ,3
1,  6:54 지금이 딱 중간...발ㄱ..ㅣ..... 중간밝기로 되어있는데 ,3
1,"  와.. 미밴드3에서 정말 아쉬웠던게  재생중 음악 음량,곡넘기기였는데 미밴드4는 가능하다니... Nfc 교통카드까지 한국에서 쓸수있으면.....미밴드 2 3 있지만 4까지 삽니당 ",3
1,  오만상사는 아니지만 LG 사운드바 sk1D 리뷰해주세요! 사운드바 사고싶은데 어떤게 좋을지 잘 모르겠어요 스피커는 처음이라 확인해야할 내용들도 알고싶어요! 사랑해요 형! ,3
1,"  4:00 의 방수등급 5 ATM은 5기압정도의 물을 버틸수있는 능력이지 수심 50M까지의 방수능력이 아닙니다!! 가벼운 수영은 괜찮을지 몰라도 다이빙,고압수에 노출되면 고장날 수 있으니 주의하세요!! ",3
1,  형 제가 시계방향으로 돌려드리죠     you spin me round~ ,3
1,  0:03 시리:하...그만둘가? ,3
1,  1:05 와 이거 진짜 너무공감되요 ㅜㅜ 열심히 찍었는데 녹화 1도 안돼있어서 맨탈 터짐 ,3
1,  한국어 지원되면 진짜 많이 살것 같네요. 액티비티한 분들은 괜춘할듯.... ,3
1,"  6:32 누구한테 전화 오는지 확인 가능하고, 카톡/문자/이메일/인스타/페이스북 등 누가 뭐라고 보냈는지 모두 한글로 확인 가능합니다😄 ",3
1,  5:55 냥냥펀치 ,3
1,  시계방향미친ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,3
1,  인트로기생충ㅋㅋㄱㅋㅋㅋ시계방향ㅋㅋㅋㅋㄹㅇ개웃기네 ,3
1,  약 하셨어요??ㅋㅋㅋㅋㅋㅋ 맛을 보고있엌ㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎㅋㅎ ,3
1,  오늘도 좋은 인트로만 보고 갑니다~ ,3
1,  형 ㅠㅠㅠㅠㅠㅠㅠㅠ 언박실 칼 보고싶어 ,3
1,  거의최초로 설명서 훑어라도 본거 아님? ,3
1,  4:43 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 이 언니 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 섹시하네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋ ,3
1,  아나 그전까지 인트로 아무생각없이 봤는데 어제 기생충 보고 다시보니 터지네ㅋㅋㅋㅋㅋㅋㅋㅋ ,3
1,  4:45 형~나도 그 테스트 시켜줘 ,3
1,  나:미밴드4가 출시되기 전에 미밴드3를 산 흑우입니다......        잇섭: 그런 걸 나:존버실패라 하죠 잇섭:(.......) ,3
1,  인트로 빵터졌어요 ㅋㅋㅋㅋ ,3
1,  스ㅑ오미 밋밴드 퐄 으언 빡싱 입니다핳하 ,3
1,  ㅋㅋㅋ 오프닝할때 시리야 해서 시리가 반응한닼ㅋㅋ ,3
1,  시계방향 미치겠네 ㅋㅋㅋㅋ ,3
1,  처음에 내 폰 시리가 나와서 깜짝놀람ㅋㅋㅋㅋㅋㅋㅋㅋ ,3
